开源企业,核心开源项目,开源项目类型,组织,项目类型,软件栈,开源项目来源,商业模式,许可模式,开源许可类型
MapR(HPE收购),Hadoop,Internet规模,Google,大数据/Hadoop生态系统,1_基础设施,外部,开放核心,Apache-2.0+商业许可,宽松型
MariaDB Corporation,MariaDB Server,社区项目,MariaDB Foundation,数据库管理系统,3_中间件,内部,支持服务,GPL-2.0+,限制型
MariaDB Corporation,MaxScale、MariaDB ColumnStore,公司项目,,数据库智能代理服务,3_中间件,内部,业务源,BSL1.1[7]、GPL-2.0+,限制型
Mirantis,OpenStack,学术项目,NASA,基础设施软件,1_基础设施,外部,支持服务,Apache-2.0,宽松型
MongoDB,MongoDB,拆分项目,10gen,NoSQL数据库,3_中间件,内部,开放核心,SSPL+商业许可,自定义
Mozilla Corporation,Firefox,拆分项目,Netscape,Web浏览器,4_应用,内部,版税/广告,MPL-2.0,限制型
MuleSoft(Salesforce收购),MuleESB,公司项目,,中间件,3_中间件,内部,开放核心,CPAL-1.0+商业许可,限制型
MySQL AB(Oracle收购),MySQL,公司项目,,关系型数据库管理系统,3_中间件,内部,开放核心,GPL-2.0+商业许可,限制型
Neo4j,neo4j 3.5,公司项目,,图数据库,3_中间件,内部,开放核心,GPL-3.0+商业许可,限制型
Nicira(VMware收购),Open vSwitch,学术项目,Stanford,SDN/网络虚拟化,1_基础设施,外部,开放核心,Apache-2.0+商业许可,宽松型
Odoo,Odoo,公司项目,,商业应用,4_应用,内部,开放核心,LGPL-3.0+商业许可,限制型
Pentaho(Hitachi Vantara收购),pentaho,公司项目,,商业智能/提取转换加载（BI/ETL）,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
PingCAP,TiDB,公司项目,,分布式关系数据库,3_中间件,内部,开放核心,Apache-2.0+商业许可,宽松型
Pivotal(Vmware 收购),CloudFoundry,公司项目,,云平台,5_SAAS,内部,SAAS,Apache-2.0,宽松型
Postman,Postman Runtime,公司项目,,API管理,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
Puppet Labs,Puppet,公司项目,,IT基础设施自动化管理工具,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
Rackspace,OpenStack,学术项目,NASA,云平台,5_SAAS,外部,SAAS,Apache-2.0,宽松型
Rapid7,Metasploit,公司项目,收购,安全,4_应用,内部,开放核心,BSD-3-Clause+商业许可,宽松型
RedHat(IBM收购),Linux,Internet规模,Linus,操作系统,2_OS,外部,支持服务,GPL-2.0,限制型
Redis Labs,Redis,公司项目,,数据库,3_中间件,内部,开放核心,BSD-3-Clause+商业许可,宽松型
Redis Labs,RediSearch,公司项目,,搜索引擎,4_应用,内部,附加限制条款,Apache 2.0 with Commons Clause1.0,自定义
Segment(Twilio收购),Analytics.js,公司项目,,客户分析,4_应用,内部,开放核心,MIT+商业许可,宽松型
Sleepycat(Oracle收购),BerkeleyDB,公司项目,,嵌入式数据库系统,3_中间件,内部,双重授权,AGPL-3.0、商业许可,限制型
Sourcefire(Cisco收购),Snort,公司项目,,网络入侵检测,4_应用,内部,开放核心,GPL-2.0+商业许可,限制型
SugarCRM,SugarCRM,公司项目,,CRM客户关系管理,4_应用,内部,开放核心,AGPL-3.0+商业许可,限制型
SUSE,Linux kernel,Internet规模,Linus,操作系统（Linux）,2_OS,外部,支持服务,GPL-2.0+,限制型
Talend,Talend Data Integration,公司项目,,SOA/ETL/AI/中间件,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
Treasure Data(Arm收购),Fluentd,公司项目,,Log数据平台,4_应用,内部,开放核心,Apache-2.0+商业许可,宽松型
VA Linux(Geeknet收购),Linux,Internet规模,Linus,操作系统,2_OS,外部,支持服务,GPL-2.0,限制型
WP Engine,WordPress,社区项目,wordpress,内容管理系统,4_应用,外部,开放核心,GPL-2.0+商业许可,限制型
